id,file_name,file_path,modulation,snr_db,has_fec,has_interleaving,sample_rate,num_samples,raw_payload_text,sync_word
1,sig_001_BPSK_snr0dB_fec0_itr0.iq,synthetic_dataset\sig_001_BPSK_snr0dB_fec0_itr0.iq,BPSK,0,False,False,2000000.0,6400,SIH2026,10101011
2,sig_002_BPSK_snr0dB_fec0_itr1.iq,synthetic_dataset\sig_002_BPSK_snr0dB_fec0_itr1.iq,BPSK,0,False,True,2000000.0,6400,SIH2026,10101011
3,sig_003_BPSK_snr0dB_fec1_itr0.iq,synthetic_dataset\sig_003_BPSK_snr0dB_fec1_itr0.iq,BPSK,0,True,False,2000000.0,10600,SIH2026,10101011
4,sig_004_BPSK_snr0dB_fec1_itr1.iq,synthetic_dataset\sig_004_BPSK_snr0dB_fec1_itr1.iq,BPSK,0,True,True,2000000.0,11200,SIH2026,10101011
5,sig_005_BPSK_snr5dB_fec0_itr0.iq,synthetic_dataset\sig_005_BPSK_snr5dB_fec0_itr0.iq,BPSK,5,False,False,2000000.0,6400,SIH2026,10101011
6,sig_006_BPSK_snr5dB_fec0_itr1.iq,synthetic_dataset\sig_006_BPSK_snr5dB_fec0_itr1.iq,BPSK,5,False,True,2000000.0,6400,SIH2026,10101011
7,sig_007_BPSK_snr5dB_fec1_itr0.iq,synthetic_dataset\sig_007_BPSK_snr5dB_fec1_itr0.iq,BPSK,5,True,False,2000000.0,10600,SIH2026,10101011
8,sig_008_BPSK_snr5dB_fec1_itr1.iq,synthetic_dataset\sig_008_BPSK_snr5dB_fec1_itr1.iq,BPSK,5,True,True,2000000.0,11200,SIH2026,10101011
9,sig_009_BPSK_snr10dB_fec0_itr0.iq,synthetic_dataset\sig_009_BPSK_snr10dB_fec0_itr0.iq,BPSK,10,False,False,2000000.0,6400,SIH2026,10101011
10,sig_010_BPSK_snr10dB_fec0_itr1.iq,synthetic_dataset\sig_010_BPSK_snr10dB_fec0_itr1.iq,BPSK,10,False,True,2000000.0,6400,SIH2026,10101011
11,sig_011_BPSK_snr10dB_fec1_itr0.iq,synthetic_dataset\sig_011_BPSK_snr10dB_fec1_itr0.iq,BPSK,10,True,False,2000000.0,10600,SIH2026,10101011
12,sig_012_BPSK_snr10dB_fec1_itr1.iq,synthetic_dataset\sig_012_BPSK_snr10dB_fec1_itr1.iq,BPSK,10,True,True,2000000.0,11200,SIH2026,10101011
13,sig_013_BPSK_snr15dB_fec0_itr0.iq,synthetic_dataset\sig_013_BPSK_snr15dB_fec0_itr0.iq,BPSK,15,False,False,2000000.0,6400,SIH2026,10101011
14,sig_014_BPSK_snr15dB_fec0_itr1.iq,synthetic_dataset\sig_014_BPSK_snr15dB_fec0_itr1.iq,BPSK,15,False,True,2000000.0,6400,SIH2026,10101011
15,sig_015_BPSK_snr15dB_fec1_itr0.iq,synthetic_dataset\sig_015_BPSK_snr15dB_fec1_itr0.iq,BPSK,15,True,False,2000000.0,10600,SIH2026,10101011
16,sig_016_BPSK_snr15dB_fec1_itr1.iq,synthetic_dataset\sig_016_BPSK_snr15dB_fec1_itr1.iq,BPSK,15,True,True,2000000.0,11200,SIH2026,10101011
17,sig_017_BPSK_snr20dB_fec0_itr0.iq,synthetic_dataset\sig_017_BPSK_snr20dB_fec0_itr0.iq,BPSK,20,False,False,2000000.0,6400,SIH2026,10101011
18,sig_018_BPSK_snr20dB_fec0_itr1.iq,synthetic_dataset\sig_018_BPSK_snr20dB_fec0_itr1.iq,BPSK,20,False,True,2000000.0,6400,SIH2026,10101011
19,sig_019_BPSK_snr20dB_fec1_itr0.iq,synthetic_dataset\sig_019_BPSK_snr20dB_fec1_itr0.iq,BPSK,20,True,False,2000000.0,10600,SIH2026,10101011
20,sig_020_BPSK_snr20dB_fec1_itr1.iq,synthetic_dataset\sig_020_BPSK_snr20dB_fec1_itr1.iq,BPSK,20,True,True,2000000.0,11200,SIH2026,10101011
21,sig_021_BPSK_snr30dB_fec0_itr0.iq,synthetic_dataset\sig_021_BPSK_snr30dB_fec0_itr0.iq,BPSK,30,False,False,2000000.0,6400,SIH2026,10101011
22,sig_022_BPSK_snr30dB_fec0_itr1.iq,synthetic_dataset\sig_022_BPSK_snr30dB_fec0_itr1.iq,BPSK,30,False,True,2000000.0,6400,SIH2026,10101011
23,sig_023_BPSK_snr30dB_fec1_itr0.iq,synthetic_dataset\sig_023_BPSK_snr30dB_fec1_itr0.iq,BPSK,30,True,False,2000000.0,10600,SIH2026,10101011
24,sig_024_BPSK_snr30dB_fec1_itr1.iq,synthetic_dataset\sig_024_BPSK_snr30dB_fec1_itr1.iq,BPSK,30,True,True,2000000.0,11200,SIH2026,10101011
25,sig_025_QPSK_snr0dB_fec0_itr0.iq,synthetic_dataset\sig_025_QPSK_snr0dB_fec0_itr0.iq,QPSK,0,False,False,2000000.0,3200,SIH2026,10101011
26,sig_026_QPSK_snr0dB_fec0_itr1.iq,synthetic_dataset\sig_026_QPSK_snr0dB_fec0_itr1.iq,QPSK,0,False,True,2000000.0,3200,SIH2026,10101011
27,sig_027_QPSK_snr0dB_fec1_itr0.iq,synthetic_dataset\sig_027_QPSK_snr0dB_fec1_itr0.iq,QPSK,0,True,False,2000000.0,5300,SIH2026,10101011
28,sig_028_QPSK_snr0dB_fec1_itr1.iq,synthetic_dataset\sig_028_QPSK_snr0dB_fec1_itr1.iq,QPSK,0,True,True,2000000.0,5600,SIH2026,10101011
29,sig_029_QPSK_snr5dB_fec0_itr0.iq,synthetic_dataset\sig_029_QPSK_snr5dB_fec0_itr0.iq,QPSK,5,False,False,2000000.0,3200,SIH2026,10101011
30,sig_030_QPSK_snr5dB_fec0_itr1.iq,synthetic_dataset\sig_030_QPSK_snr5dB_fec0_itr1.iq,QPSK,5,False,True,2000000.0,3200,SIH2026,10101011
31,sig_031_QPSK_snr5dB_fec1_itr0.iq,synthetic_dataset\sig_031_QPSK_snr5dB_fec1_itr0.iq,QPSK,5,True,False,2000000.0,5300,SIH2026,10101011
32,sig_032_QPSK_snr5dB_fec1_itr1.iq,synthetic_dataset\sig_032_QPSK_snr5dB_fec1_itr1.iq,QPSK,5,True,True,2000000.0,5600,SIH2026,10101011
33,sig_033_QPSK_snr10dB_fec0_itr0.iq,synthetic_dataset\sig_033_QPSK_snr10dB_fec0_itr0.iq,QPSK,10,False,False,2000000.0,3200,SIH2026,10101011
34,sig_034_QPSK_snr10dB_fec0_itr1.iq,synthetic_dataset\sig_034_QPSK_snr10dB_fec0_itr1.iq,QPSK,10,False,True,2000000.0,3200,SIH2026,10101011
35,sig_035_QPSK_snr10dB_fec1_itr0.iq,synthetic_dataset\sig_035_QPSK_snr10dB_fec1_itr0.iq,QPSK,10,True,False,2000000.0,5300,SIH2026,10101011
36,sig_036_QPSK_snr10dB_fec1_itr1.iq,synthetic_dataset\sig_036_QPSK_snr10dB_fec1_itr1.iq,QPSK,10,True,True,2000000.0,5600,SIH2026,10101011
37,sig_037_QPSK_snr15dB_fec0_itr0.iq,synthetic_dataset\sig_037_QPSK_snr15dB_fec0_itr0.iq,QPSK,15,False,False,2000000.0,3200,SIH2026,10101011
38,sig_038_QPSK_snr15dB_fec0_itr1.iq,synthetic_dataset\sig_038_QPSK_snr15dB_fec0_itr1.iq,QPSK,15,False,True,2000000.0,3200,SIH2026,10101011
39,sig_039_QPSK_snr15dB_fec1_itr0.iq,synthetic_dataset\sig_039_QPSK_snr15dB_fec1_itr0.iq,QPSK,15,True,False,2000000.0,5300,SIH2026,10101011
40,sig_040_QPSK_snr15dB_fec1_itr1.iq,synthetic_dataset\sig_040_QPSK_snr15dB_fec1_itr1.iq,QPSK,15,True,True,2000000.0,5600,SIH2026,10101011
41,sig_041_QPSK_snr20dB_fec0_itr0.iq,synthetic_dataset\sig_041_QPSK_snr20dB_fec0_itr0.iq,QPSK,20,False,False,2000000.0,3200,SIH2026,10101011
42,sig_042_QPSK_snr20dB_fec0_itr1.iq,synthetic_dataset\sig_042_QPSK_snr20dB_fec0_itr1.iq,QPSK,20,False,True,2000000.0,3200,SIH2026,10101011
43,sig_043_QPSK_snr20dB_fec1_itr0.iq,synthetic_dataset\sig_043_QPSK_snr20dB_fec1_itr0.iq,QPSK,20,True,False,2000000.0,5300,SIH2026,10101011
44,sig_044_QPSK_snr20dB_fec1_itr1.iq,synthetic_dataset\sig_044_QPSK_snr20dB_fec1_itr1.iq,QPSK,20,True,True,2000000.0,5600,SIH2026,10101011
45,sig_045_QPSK_snr30dB_fec0_itr0.iq,synthetic_dataset\sig_045_QPSK_snr30dB_fec0_itr0.iq,QPSK,30,False,False,2000000.0,3200,SIH2026,10101011
46,sig_046_QPSK_snr30dB_fec0_itr1.iq,synthetic_dataset\sig_046_QPSK_snr30dB_fec0_itr1.iq,QPSK,30,False,True,2000000.0,3200,SIH2026,10101011
